p,dp,time
16,256,0.023056
16,256,0.007246
16,256,0.005074
16,256,0.023049
16,256,0.006032
16,256,0.005563
16,256,0.022715
16,256,0.005961
16,256,0.005261
16,256,0.018042
16,256,0.009521
16,256,0.009889
16,256,0.019456
16,256,0.005584
16,256,0.005327
16,1024,0.032748
16,1024,0.006206
16,1024,0.005589
16,1024,0.059741
16,1024,0.017158
16,1024,0.023340
16,1024,0.031613
16,1024,0.006510
16,1024,0.005221
16,1024,0.031387
16,1024,0.005867
16,1024,0.005171
16,1024,0.035630
16,1024,0.006402
16,1024,0.005509
16,4096,0.046809
16,4096,0.008349
16,4096,0.019393
16,4096,0.052428
16,4096,0.008836
16,4096,0.006885
16,4096,0.044153
16,4096,0.007837
16,4096,0.006812
16,4096,0.050276
16,4096,0.008511
16,4096,0.006796
16,4096,0.048877
16,4096,0.008594
16,4096,0.007038
16,16384,0.066467
16,16384,0.007524
16,16384,0.007356
16,16384,0.075297
16,16384,0.008041
16,16384,0.007743
16,16384,0.075111
16,16384,0.007792
16,16384,0.007475
16,16384,0.056410
16,16384,0.008157
16,16384,0.007550
16,16384,0.059019
16,16384,0.008245
16,16384,0.020086
16,65536,0.207969
16,65536,0.087925
16,65536,0.089029
16,65536,0.221823
16,65536,0.096310
16,65536,0.072035
16,65536,0.214382
16,65536,0.095227
16,65536,0.058067
16,65536,0.159861
16,65536,0.102669
16,65536,0.060363
16,65536,0.221492
16,65536,0.088698
16,65536,0.062362
16,262144,0.803950
16,262144,0.329518
16,262144,0.237114
16,262144,0.838319
16,262144,0.340256
16,262144,0.243316
16,262144,0.810174
16,262144,0.336105
16,262144,0.239120
16,262144,0.788839
16,262144,0.113034
16,262144,0.091053
16,262144,0.635160
16,262144,0.060048
16,262144,0.044093
16,1048576,3.305339
16,1048576,1.353700
16,1048576,0.961553
16,1048576,3.404902
16,1048576,1.359592
16,1048576,0.983065
16,1048576,3.334654
16,1048576,1.361254
16,1048576,1.002649
16,1048576,3.239495
16,1048576,1.336610
16,1048576,0.549902
16,1048576,2.720230
16,1048576,1.331667
16,1048576,0.941618
25,256,0.023220
25,256,0.006107
25,256,0.005031
25,256,0.025008
25,256,0.006610
25,256,0.035982
25,256,0.020838
25,256,0.024155
25,256,0.004542
25,256,0.014749
25,256,0.005538
25,256,0.005098
25,256,0.031109
25,256,0.023569
25,256,0.004679
25,1024,0.035804
25,1024,0.006377
25,1024,0.031868
25,1024,0.041063
25,1024,0.005595
25,1024,0.019797
25,1024,0.042237
25,1024,0.023252
25,1024,0.023473
25,1024,0.044363
25,1024,0.005648
25,1024,0.005319
25,1024,0.036928
25,1024,0.007665
25,1024,0.024356
25,4096,0.048106
25,4096,0.024847
25,4096,0.007229
25,4096,0.052155
25,4096,0.024151
25,4096,0.006775
25,4096,0.051145
25,4096,0.008706
25,4096,0.023229
25,4096,0.051169
25,4096,0.020404
25,4096,0.035513
25,4096,0.064154
25,4096,0.011795
25,4096,0.008821
25,16384,0.124272
25,16384,0.029740
25,16384,0.022273
25,16384,0.104039
25,16384,0.029702
25,16384,0.021155
25,16384,0.088592
25,16384,0.029209
25,16384,0.028959
25,16384,0.135880
25,16384,0.028569
25,16384,0.017859
25,16384,0.089095
25,16384,0.025189
25,16384,0.017241
25,65536,0.211473
25,65536,0.110992
25,65536,0.085080
25,65536,0.251045
25,65536,0.121563
25,65536,0.074017
25,65536,0.206018
25,65536,0.114813
25,65536,0.081245
25,65536,0.224785
25,65536,0.105283
25,65536,0.080891
25,65536,0.229217
25,65536,0.100365
25,65536,0.078621
25,262144,0.962880
25,262144,0.339036
25,262144,0.190325
25,262144,0.660199
25,262144,0.104949
25,262144,0.047085
25,262144,0.719255
25,262144,0.102982
25,262144,0.056636
25,262144,0.722169
25,262144,0.293821
25,262144,0.053149
25,262144,0.695799
25,262144,0.098039
25,262144,0.058090
25,1048576,2.961222
25,1048576,1.482040
25,1048576,0.968947
25,1048576,3.673997
25,1048576,1.260647
25,1048576,0.923046
25,1048576,3.826736
25,1048576,1.298444
25,1048576,1.070400
25,1048576,3.584790
25,1048576,0.500188
25,1048576,0.980191
25,1048576,3.470412
25,1048576,1.341831
25,1048576,1.108567
36,256,0.128508
36,256,0.030678
36,256,0.024129
36,256,0.059501
36,256,0.005575
36,256,0.009040
36,256,0.106143
36,256,0.005819
36,256,0.021410
36,256,0.072948
36,256,0.006360
36,256,0.021384
36,256,0.385533
36,256,0.005543
36,256,0.054354
36,1024,0.319394
36,1024,0.139909
36,1024,0.122974
36,1024,0.543147
36,1024,0.172485
36,1024,0.192755
36,1024,0.346189
36,1024,0.267357
36,1024,0.100104
36,1024,0.084659
36,1024,0.154677
36,1024,0.034703
36,1024,0.314759
36,1024,0.197420
36,1024,0.070199
36,4096,0.421710
36,4096,0.193670
36,4096,0.009767
36,4096,0.119359
36,4096,0.037924
36,4096,0.063097
36,4096,0.223912
36,4096,0.074802
36,4096,0.025166
36,4096,0.204055
36,4096,0.118877
36,4096,0.048570
36,4096,0.092271
36,4096,0.042987
36,4096,0.025235
36,16384,0.199951
36,16384,0.055008
36,16384,0.021998
36,16384,0.240063
36,16384,0.096449
36,16384,0.085742
36,16384,0.227203
36,16384,0.059997
36,16384,0.047520
36,16384,0.189571
36,16384,0.080948
36,16384,0.023048
36,16384,0.054965
36,16384,0.028493
36,16384,0.050034
36,65536,0.198535
36,65536,0.069352
36,65536,0.060548
36,65536,0.183242
36,65536,0.068086
36,65536,0.149771
36,65536,0.567960
36,65536,0.205024
36,65536,0.099920
36,65536,0.466372
36,65536,0.135817
36,65536,0.082339
36,65536,0.568397
36,65536,0.279533
36,65536,0.248637
36,262144,1.356027
36,262144,0.853741
36,262144,0.957098
36,262144,1.753850
36,262144,0.610002
36,262144,0.600522
36,262144,1.586402
36,262144,0.791971
36,262144,0.646074
36,262144,1.055861
36,262144,0.875494
36,262144,0.366261
36,262144,1.519578
36,262144,0.909385
36,262144,0.721968
36,1048576,6.951660
36,1048576,3.257883
36,1048576,2.730583
36,1048576,5.893360
36,1048576,3.606368
36,1048576,3.056922
36,1048576,7.209578
36,1048576,3.905813
36,1048576,2.744875
36,1048576,7.104325
36,1048576,2.377766
36,1048576,2.223977
36,1048576,5.629340
36,1048576,3.149727
36,1048576,1.275025
49,256,0.036040
49,256,0.026917
49,256,0.005232
49,256,0.354491
49,256,0.245856
49,256,0.215769
49,256,0.360411
49,256,0.110589
49,256,0.021818
49,256,0.021871
49,256,0.005274
49,256,0.020772
49,256,0.201671
49,256,0.019504
49,256,0.032604
49,1024,0.306155
49,1024,0.273124
49,1024,0.211384
49,1024,0.365143
49,1024,0.331397
49,1024,0.234956
49,1024,0.347774
49,1024,0.407911
49,1024,0.234796
49,1024,0.394120
49,1024,0.197154
49,1024,0.079784
49,1024,0.186306
49,1024,0.123598
49,1024,0.075425
49,4096,0.459895
49,4096,0.220554
49,4096,0.320254
49,4096,0.408859
49,4096,0.239093
49,4096,0.258694
49,4096,0.453144
49,4096,0.338352
49,4096,0.295290
49,4096,0.233702
49,4096,0.044778
49,4096,0.102344
49,4096,0.146211
49,4096,0.106134
49,4096,0.050923
49,16384,0.344255
49,16384,0.218673
49,16384,0.236242
49,16384,0.606150
49,16384,0.354252
49,16384,0.343987
49,16384,0.563893
49,16384,0.263303
49,16384,0.279691
49,16384,0.549533
49,16384,0.328186
49,16384,0.267702
49,16384,0.556519
49,16384,0.348804
49,16384,0.241238
49,65536,1.042140
49,65536,0.509070
49,65536,0.385749
49,65536,0.953920
49,65536,0.484814
49,65536,0.400255
49,65536,0.743117
49,65536,0.495752
49,65536,0.410255
49,65536,0.486997
49,65536,0.255178
49,65536,0.244108
49,65536,0.435880
49,65536,0.238370
49,65536,0.182396
49,262144,1.210355
49,262144,0.187489
49,262144,0.113280
49,262144,1.549446
49,262144,0.749877
49,262144,0.518482
49,262144,1.358211
49,262144,0.791148
49,262144,0.580836
49,262144,1.601110
49,262144,0.725214
49,262144,0.741891
49,262144,1.398614
49,262144,0.696181
49,262144,0.625025
49,1048576,5.604869
49,1048576,2.872140
49,1048576,1.972896
49,1048576,5.337595
49,1048576,2.674588
49,1048576,2.005210
49,1048576,6.377334
49,1048576,2.633389
49,1048576,0.974981
49,1048576,7.243241
49,1048576,3.018853
49,1048576,3.171552
49,1048576,7.428725
49,1048576,3.509139
49,1048576,3.148742
64,256,0.327591
64,256,0.314481
64,256,0.385576
64,256,0.465255
64,256,0.402479
64,256,0.307479
64,256,0.568953
64,256,0.358638
64,256,0.319550
64,256,0.195917
64,256,0.140443
64,256,0.183218
64,256,0.040293
64,256,0.026911
64,256,0.009834
64,1024,0.058483
64,1024,0.025229
64,1024,0.020407
64,1024,0.192928
64,1024,0.163186
64,1024,0.246715
64,1024,0.406472
64,1024,0.302296
64,1024,0.372710
64,1024,0.496886
64,1024,0.400632
64,1024,0.410295
64,1024,0.501717
64,1024,0.331928
64,1024,0.250985
64,4096,0.472462
64,4096,0.311968
64,4096,0.382477
64,4096,0.358268
64,4096,0.191851
64,4096,0.264616
64,4096,0.432650
64,4096,0.225671
64,4096,0.351305
64,4096,0.434964
64,4096,0.350848
64,4096,0.316617
64,4096,0.474944
64,4096,0.444669
64,4096,0.379781
64,16384,0.596615
64,16384,0.455529
64,16384,0.356287
64,16384,0.617191
64,16384,0.457742
64,16384,0.432881
64,16384,0.491825
64,16384,0.422237
64,16384,0.309505
64,16384,0.558074
64,16384,0.404716
64,16384,0.387079
64,16384,0.529847
64,16384,0.246291
64,16384,0.277001
64,65536,1.228172
64,65536,0.747133
64,65536,0.560713
64,65536,0.947680
64,65536,0.451028
64,65536,0.427452
64,65536,1.064873
64,65536,0.507286
64,65536,0.428469
64,65536,1.117364
64,65536,0.635325
64,65536,0.497405
64,65536,1.188281
64,65536,0.476657
64,65536,0.421308
64,262144,3.447764
64,262144,1.277733
64,262144,0.322097
64,262144,3.802020
64,262144,1.601299
64,262144,0.724450
64,262144,3.726780
64,262144,1.418379
64,262144,1.391880
64,262144,2.936214
64,262144,1.442496
64,262144,1.252326
64,262144,2.936096
64,262144,1.068928
64,262144,1.207676
64,1048576,12.614284
64,1048576,6.169855
64,1048576,4.368191
64,1048576,12.416370
64,1048576,4.117490
64,1048576,3.474957
64,1048576,11.096967
64,1048576,4.696675
64,1048576,1.799826
64,1048576,7.767233
64,1048576,2.758648
64,1048576,2.632050
64,1048576,9.398859
64,1048576,1.505883
64,1048576,0.810234